State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,502636,460153,688362,392333,296029,284591,59042,229076,114557,955754,5278,383,107,33,24,12,124984,1163,8278
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,301962,308420,299383,180903,118480,168155,137283,151694,153744,601092,4952,1778,724,76,905,22,43976,757,4221
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,865380,833350,1291939,704857,587082,498461,123215,450536,171140,1644905,46094,4239,193,243,94,302,201605,3416,16006
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,471960,495951,407735,241959,165776,258032,209090,227815,239307,874445,4607,84916,219,249,123,44,61543,1553,9166
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,526877,514222,703691,393192,310499,313161,192679,336854,168986,964188,20120,50637,2506,310,86,1117,126498,5231,14521
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,1061147,1032290,1342322,750147,592175,584687,288540,535112,338115,1532352,71391,385011,5713,710,721,89986,223537,12787,35024
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,97809,102413,154916,79903,75013,53139,15162,58342,9959,152638,28835,18391,46,63,54,14,47880,1868,4870
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,19143,22673,36470,16610,19860,9093,2709,10404,1398,27940,12856,958,3,21,14,3,7150,574,1484
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,27301,28325,39274,19919,19355,14047,2713,15373,1387,53537,1191,873,3,1,4,4,12859,207,597
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,1318408,1172248,1684770,932981,751789,735195,182661,787254,130602,690939,12502,54344,1716935,876,3152,1044,461231,29961,63864
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,743197,645328,844868,488261,356607,432988,116998,452678,97308,380569,16299,2474,984286,246,1266,559,255650,11284,32253
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,326671,290837,381285,215767,165518,185049,36506,190415,31140,141363,3125,1227,469789,155,1109,103,113549,4348,12276
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,320795,279368,426033,238696,187337,182777,32006,192845,21938,152851,16808,1698,427521,48,178,251,113683,5138,14294
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,1071637,957437,1227511,707070,520441,596406,160289,618362,138333,906408,6844,19358,1090815,454,1143,278,349662,10042,31070
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,1212617,1085706,1634719,907660,727059,637652,119486,625778,131360,1074332,27667,176587,1002874,405,580,812,411216,14428,38445
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,809057,777568,1199699,637927,561772,412506,87316,411011,88811,1000743,23089,14968,538208,3476,2034,531,319930,13747,34328
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,1145211,1048379,1622537,882581,739956,639484,134988,689592,84880,1394329,30233,26016,718363,11385,4011,805,446200,39082,79134
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,426311,388857,576567,316254,260313,235562,48603,248208,35957,336124,10190,5445,453692,6662,553,334,161206,9732,23145
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1867816,1630923,2560225,1428348,1131877,1053600,231222,1138654,146168,1502403,77713,16517,1863408,2007,19620,1254,703624,58589,123400
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,408732,361019,423560,244037,179523,230739,97773,247175,81337,156539,10375,917,598443,123,1577,493,140099,2673,10085
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,525920,469826,627889,348549,279340,292379,66793,304880,54292,158414,9388,3277,818921,178,436,365,183396,7897,21662
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,475622,426274,524848,300401,224447,272699,62627,287205,48121,254920,4333,1681,638625,240,744,433,166585,4571,14077
